company,h-index,repo count,contributor count,location,country,employee,top_language
docusign,15,121,535,"San Francisco, CA",USA,7461,JavaScript
dell,21,121,1027,"One Dell Way, Round Rock, TX  USA",USA,133000,Python
wordpress,51,121,1210,,,,PHP
facebook,97,120,9234,"Menlo Park, California",USA,83553,C++
paytm,6,119,881,Noida,,,JavaScript
alteryx,14,118,1479,"Broomfield, CO",,,JavaScript
vuejs,81,118,4914,All Over the World,,,JavaScript
filamentgroup,56,118,418,"Boston, MA",,,JavaScript
storybookjs,31,117,1329,,,,JavaScript
mdn,50,116,2194,Worldwide,,,JavaScript
rails,65,114,2067,,,,Ruby
minio,40,113,2002,United States of America,,,Go
aspnet,68,112,1032,"Redmond, WA",,,C#
ant-design,44,111,1973,"HangZhou, China",,,JavaScript
ericsson,13,109,1858,,,,Ruby
coinbase,46,108,648,,,,Ruby
tensorflow,87,107,3992,,,,Python
baidu,62,106,1309,"Beijing, China",China,45500,C++
yandex,41,106,938,"Moscow, Russia",Other,18004,JavaScript
commaai,25,106,4003,San Diego,,,Python
mastercard,13,104,582,,USA,24000,Java
seagate,12,104,3112,,,,C
ExpediaInc,2,104,3397,,USA,20000,Java
huggingface,49,104,2591,NYC + Paris,,,Python
huawei,12,103,162,,China,197000,Python
vimeo,38,102,2133,"New York, NY",,,Go
koajs,55,102,720,,,,JavaScript
gatsbyjs,29,101,1232,,,,JavaScript
skillz,5,100,2423,"San Francisco, CA",,,Objective-C
signalapp,35,100,2215,Everywhere and nowhere,,,Java
powershell,42,100,1027,Redmond,,,PowerShell
twitter,69,98,1570,,USA,7500,Scala
medium,22,97,4025,"San Francisco, CA",USA,250,JavaScript
procore,11,95,2765,,,,Ruby
clojure,53,94,574,,,,Clojure
genius,9,93,2985,,,,Ruby
electron,39,93,1901,"San Francisco, CA",,,JavaScript
nytimes,44,93,625,"New York, NY",,,Go
firebase,49,92,2859,"San Francisco, CA",,,JavaScript
home-assistant,36,92,2712,Your home,,,Python
mercari,34,90,1332,,,,Go
jupyter,37,90,1364,The Future,,,Python
okta,34,89,1073,,USA,3542,JavaScript
realm,34,89,1049,,,,Swift
docker,56,87,2769,"San Francisco, CA",USA,314,Go
mandiant,54,87,721,,,,Python
mercadolibre,19,87,2563,,,,Java
