company,h-index,repo count,contributor count,repo-count diff,contributor diff
nutanix,11,76,892,0,-2317
semantic-org,16,76,753,0,-139
box,35,75,723,-1,-31
doctrine,42,75,1782,0,1060
pinterest,43,74,3196,-1,1596
appian,4,74,7456,0,-5
hexojs,29,73,738,1,0
rethinkdb,24,72,695,0,-1
openresty,54,70,411,0,3
videojs,29,70,673,0,2
kriasoft,29,70,628,0,-1
gulpjs,22,70,449,0,1
tusimple,10,68,2993,0,-1
pytorch,56,68,2737,0,17
opntec,0,68,304,0,-62
douban,31,67,550,-1,246
blockchain,19,67,1749,0,1199
shadowsocks,43,67,1192,0,-558
netdata,13,66,1813,-1,620
bilibili,36,65,1744,-1,-59
doordash,4,65,3552,0,34
strapi,32,65,784,0,-18
xiaomi,30,64,607,0,-1129
lingochamp,15,64,2317,0,1708
qualys,7,64,742,0,-1575
gothinkster,34,64,366,0,-375
solarwinds,9,63,1647,0,-1
datawhalechina,37,63,245,0,3
qihoo360,39,62,384,0,0
pypa,34,62,1903,0,13
localstack,17,62,1915,1,935
tenable,22,61,984,1,-84
haiwen,18,60,1066,1,843
yalantis,49,59,223,0,-1007
babel,34,59,1229,0,-633
wish,7,56,1402,-1,0
meituan,13,55,827,0,0
uipath,11,55,3274,0,-4
bookingcom,9,55,2204,0,-5
doximity,5,55,1050,0,-1
golang,50,55,2284,0,5
polymer,27,55,488,0,0
zoom,22,54,74,0,0
equinix,11,54,512,0,-1
liveramp,10,54,508,0,1
d3,45,54,319,0,0
postcss,38,54,790,0,1
jekyll,29,54,778,0,-1
fortinet,9,53,93,0,-1178
lenovo,9,53,567,0,474
remitly,2,53,2531,0,1963
adevinta,4,53,625,0,-1907
pixijs,26,53,1339,0,713
gree,23,52,286,0,-1
raspberrypi,39,52,1567,0,-526
yued-fe,11,51,274,-1,-1294
renesas,6,51,2093,0,1819
parse-community,31,51,1005,0,2
kakao,26,50,102,0,1
sony,24,50,447,0,-592
jquery,26,50,1042,0,-253
nuxt,36,50,1895,1,1450
locaweb,12,49,130,0,0
webpack,31,49,1308,0,2
valvesoftware,41,49,951,0,-931
zalando,41,48,982,-1,30
dianping,15,48,1066,0,89
zomato,4,48,2852,0,1784
dcloudio,28,48,881,0,-1974
applovin,8,47,1361,-1,482
genymobile,9,47,1286,0,-75
dmlc,34,47,1766,0,484
yeoman,35,47,1005,0,-755
qunarcorp,16,46,96,-1,-908
clarivate,6,46,1477,0,1381
similarweb,6,46,1526,0,49
socketio,24,46,987,0,-540
pivotal,12,45,2149,-1,1162
fiserv,3,45,620,0,-1531
godotengine,32,45,1508,0,5
ctripcorp,24,44,532,0,0
prometheus,35,44,2010,0,1391
traefik,18,44,1074,0,-907
metafizzy,21,44,110,0,-963
adyen,19,43,385,-1,275
expensify,5,43,1714,0,7
ubisoft,17,42,2203,0,1819
riskified,3,42,1182,0,-1022
reactiveX,37,42,1533,0,350
ramotion,35,42,122,0,-1413
open-mmlab,36,42,1083,0,961
alipay,23,41,1257,-1,190
riot,17,41,336,0,0
expressjs,31,41,954,0,-1
istio,20,40,1457,0,1
shotspotter,1,38,1923,0,-1
googlechrome,33,38,1531,0,14
julialang,23,38,2045,0,5
bumptech,11,38,348,0,-2
factset,6,37,352,0,0
cimpress,4,37,107,0,-1126
prettier,23,37,1234,0,-710
swagger-api,22,37,1942,1,1663
eleme,20,36,279,0,-975
amd,13,36,1252,0,531
workday,12,36,720,0,614
thealgorithms,35,36,2550,0,14
nestjs,35,36,1262,0,8
logitech,12,35,415,0,0
secureworks,11,35,622,0,0
homebrew,26,35,2295,0,1
webtorrent,21,35,358,0,-1
fastlane,15,35,722,0,0
meituan-dianping,23,34,218,0,2
styled-components,25,34,838,0,0
mobxjs,28,34,800,0,3
fortawesome,12,32,816,0,1
zhihu,16,31,589,0,-2
pegasystems,10,31,140,0,0
avalara,3,30,760,0,-1
globant,3,30,65,0,0
jgraph,16,30,456,0,9
youtube,16,29,425,0,-1
gohugoio,10,29,772,0,8
ansys,5,28,47,0,1
ebookfoundation,11,28,875,0,-1
flutter,24,28,1794,0,-3
h5bp,27,28,854,0,0
jobbole,26,27,123,0,0
Instagram,15,27,1453,0,0
ncsoft,10,27,205,0,-1511
redis,18,27,1725,0,510
graphql,21,27,1220,1,993
mapmyindia,2,26,22,0,0
netgear,3,26,1547,0,15
moby,17,26,1497,0,4
akveo,18,26,209,0,0
neovim,19,26,1782,0,2
scrapy,18,26,661,0,1
wayfair,13,25,225,0,-1488
markforged,2,25,1713,0,1508
twbs,21,25,595,0,0
visionmedia,21,25,332,0,-1
sequelize,14,25,741,0,0
grpc,21,24,1436,0,14
tastejs,16,24,420,0,0
trainline,6,23,106,0,0
matterport,5,23,157,0,0
django,18,23,955,1,895
zynga,14,22,60,0,-2
anjuke,9,22,62,0,-749
23andme,8,22,811,0,798
egain,1,22,13,0,-941
syncthing,11,22,513,0,0
definitelytyped,10,22,449,0,1
afnetworking,19,22,385,0,0
taobao,10,21,112,0,0
reduxjs,18,21,1180,0,4
encode,18,21,970,0,5
overstock,4,20,928,0,-1
veeva,3,20,9,0,0
chartjs,15,20,550,0,6
iqiyi,18,19,207,0,0
weibocom,12,19,146,0,0
