Company,degree,betweenness,closeness,eigenvector,clustering,effective size,constraint
microsoft,0.6680412371134021,0.08548191313538925,0.6773397032939401,0.13199191901681329,0.17698658410732715,266.8333333333333,0.018255395860989444
jenkinsci,0.2618556701030928,0.000983672302157834,0.4530330805065505,0.0918652073818854,0.6284214473190851,47.818897637795274,0.026452013106006776
apache,0.48041237113402063,0.020914065887487676,0.553205733765967,0.12129692546806725,0.3008731685659316,163.19742489270385,0.0206566747623727
mozilla,0.4865979381443299,0.019772206238258344,0.557649153314288,0.12049772532587193,0.2902632527948071,167.78813559322032,0.02065983978838866
azure,0.32783505154639175,0.003891827538840208,0.4796360593273151,0.10348297720480315,0.49582039646524956,80.66037735849056,0.023544203804988957
adafruit,0.10927835051546392,0.00021049701909867756,0.4007348893946832,0.04475929362235077,0.7968069666182874,11.566037735849058,0.03665620145205815
googlecloudplatform,0.29690721649484536,0.0018199172660211932,0.4675240376271304,0.0984998594126556,0.5553613053613053,64.58333333333333,0.024975829909545035
owasp,0.01443298969072165,0.0,0.3722644481910395,0.008281009442783278,1.0,1.0,0.14960681849845706
hashicorp,0.39587628865979385,0.005651169322698693,0.5086250519240211,0.1137534777189085,0.3992146596858639,115.75,0.022395430377956806
w3c,0.13195876288659794,0.0006479515931732692,0.4089974644337488,0.049326889568087146,0.7366071428571429,17.59375,0.03441005185948131
intel,0.3463917525773196,0.010283100967790377,0.4872092602640622,0.0987030855570835,0.41231822070145424,99.14285714285714,0.023203044699125593
udacity,0.311340206185567,0.0023372519575341586,0.4730992816874199,0.10170829715131212,0.5346578366445917,70.80132450331126,0.024005263848626224
shopify,0.6309278350515464,0.05367304828564435,0.6488534540899894,0.13133889739568042,0.19680702882245796,245.9738562091503,0.019367656303662894
automattic,0.44948453608247424,0.015340366804351238,0.5371552772737243,0.11638070176387559,0.3219464761341056,148.13761467889907,0.02146897671438899
mapbox,0.24742268041237114,0.0010307647220400287,0.44936776432122244,0.08765244828786385,0.6436974789915967,43.400000000000006,0.026187162311016404
heroku,0.36907216494845363,0.006951092350081041,0.4976868787643646,0.10981363432519306,0.43173686523131005,102.15083798882682,0.02284161223993967
adobe,0.37938144329896906,0.007366904213852425,0.5021867601275144,0.11230593083000096,0.4288429555713946,105.52173913043478,0.022211415211623606
openstack,0.11958762886597939,0.00011596874208929641,0.4036472069048189,0.048754307213221215,0.8554143980641258,9.241379310344826,0.03569765037678338
unity-technologies,0.5835051546391753,0.036733918735328545,0.6157633666308546,0.1293915648840459,0.2254216474951758,219.43109540636044,0.0196775317572006
elastic,0.4556701030927835,0.009715198402296064,0.5402904248064503,0.12084398919816082,0.332579185520362,147.83257918552036,0.02124604672482335
JetBrains,0.3917525773195876,0.006791993676460206,0.5086250519240211,0.11174849379314437,0.3977165135059872,114.83157894736843,0.021877308908093307
