company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
rust-lang,95,194,6781,,Rust,,95,194,6755,,0,0,26
influxdata,42,193,3389,"San Francisco, CA",Go,,30,193,4752,,12,0,-1363
meteor,30,193,4749,,JavaScript,,42,192,3389,,-12,1,1360
bytedance,69,191,5673,"Beijing, P.R.C",Python,,70,191,5671,,-1,0,2
fex-team,40,188,454,beijing,JavaScript,,49,188,1312,,-9,0,-858
ipfs,49,187,1317,Earth,Go,,40,188,454,,9,-1,863
citrix,16,186,588,,CSS,,16,186,588,,0,0,0
apple,103,186,3106,"Cupertino, CA",Swift,,74,186,255,,29,0,2851
thunlp,74,186,254,"FIT Building, Tsinghua University, Beijing",Python,,103,184,3086,,-29,2,-2832
crowdstrike,29,184,2619,,Go,,28,181,2613,,1,3,6
ebay,43,182,675,,Java,,43,180,666,,0,2,9
deepmind,90,181,681,London,Python,,88,179,665,,2,2,16
servo,37,178,3476,,Rust,,51,178,3143,,-14,0,333
xamarin,51,178,3145,"Boston, MA",C#,,37,177,3478,,14,1,-333
ory,30,175,1981,Germany,Go,,30,175,1974,,0,0,7
tencent,135,170,3306,"Shenzhen, China",C++,,135,170,3296,,0,0,10
hyperledger,53,166,1728,United States of America,Go,,53,166,1725,,0,0,3
nextdoor,11,165,6967,,Python,,40,165,4089,,-29,0,2878
basecamp,40,165,4090,"Chicago, IL",Ruby,,11,164,6972,,29,1,-2882
criteo,24,162,335,"Paris, France",Python,,24,162,334,,0,0,1
telus,7,158,1113,Canada,JavaScript,,67,157,2673,,-60,1,-1560
khronosgroup,67,158,2711,Beaverton OR,C++,,7,156,1109,,60,2,1602
samsung,39,155,2220,,C++,,39,155,2218,,0,0,2
cloudera,29,153,1528,"California, USA",Java,,29,153,1531,,0,0,-3
trailofbits,59,153,2305,"New York, New York",Python,,58,153,2294,,1,0,11
jitsi,33,147,2117,Global,Java,,33,147,2112,,0,0,5
openai,87,145,2723,,Python,,40,145,1364,,47,0,1359
pingcap,43,145,3394,,Go,,43,145,3388,,0,0,6
frappe,38,144,1722,India,Python,,84,143,2717,,-46,1,-995
servicenow,22,142,2131,,JavaScript,,38,143,1377,,-16,-1,754
freshworks,9,141,3818,"San Mateo, CA 94403",JavaScript,,22,142,2132,,-13,-1,1686
qiniu,40,140,910,Shanghai,Go,,40,140,911,,0,0,-1
uber,81,138,2688,70+ countries and counting.,JavaScript,,81,139,2784,,0,-1,-96
cyberark,30,136,946,"Newton, MA and Petach Tikva, Israel",Python,,30,136,944,,0,0,2
infinitered,29,136,2127,San Francisco & Portland,JavaScript,,9,136,3738,,20,0,-1611
sage,15,128,873,"Newcastle, UK and worldwide",Ruby,,29,136,2130,,-14,-8,-1257
amzn,37,127,1304,,Python,,15,129,885,,22,-2,419
delta,8,127,266,"Tiruchirappalli, India",JavaScript,,21,126,874,,-13,1,-608
easemob,21,126,880,Beijing,Java,,46,126,1630,,-25,0,-750
fastai,46,126,1632,Australia,Jupyter Notebook,,15,125,782,,31,1,850
tryghost,38,126,2315,Singapore,JavaScript,,38,124,2316,,0,2,-1
iuap-design,15,125,780,"Beijing,China",JavaScript,,8,123,266,,7,2,514
vercel,69,124,2598,Global,JavaScript,,68,122,2581,,1,2,17
dell,21,122,1039,"One Dell Way, Round Rock, TX  USA",Python,,15,121,535,,6,1,504
docusign,15,121,534,"San Francisco, CA",JavaScript,,21,121,1027,,-6,0,-493
facebook,98,120,9253,"Menlo Park, California",C++,,51,121,1210,,47,-1,8043
