company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
spirent,5,18,47,Global,Python,,5,18,47,,0,0,0
coupang,2,18,1264,seoul,Java,,2,18,1264,,0,0,0
zscaler,3,18,10,"San Jose, CA",HCL,,16,18,448,,-13,0,-438
30-seconds,16,18,448,Greece,JavaScript,,10,18,1000,,6,0,-552
yarnpkg,10,18,1000,,JavaScript,,15,18,499,,-5,0,501
tldr-pages,8,18,503,,Python,,1,17,7,,7,1,496
guzzle,15,18,499,,PHP,,8,17,27,,7,1,472
vuzix,1,17,7,,C++,,7,17,396,,-6,0,-389
cyberagent,8,17,27,"Tokyo, Japan",JavaScript,,5,17,33,,3,0,-6
aol,7,17,396,We're working from home these days. Stay safe.,Java,,5,17,515,,2,0,-119
billtrust,5,17,33,,Python,,1,17,884,,4,0,-851
harmonic,5,17,515,"Perth, Western Australia",PHP,,14,17,980,,-9,0,-465
playstudios,1,17,883,,C#,,11,17,191,,-10,0,692
certara,4,17,23,,R,,14,16,69,,-10,1,-46
keras-team,14,17,982,Worldwide,Python,,4,16,23,,10,1,959
iview,11,17,191,BeiJing,JavaScript,,15,16,648,,-4,1,-457
vipshop,14,16,69,Guangzhou China,C,,10,16,587,,4,0,-518
leaflet,15,16,647,,JavaScript,,3,15,30,,12,1,617
gogs,10,16,583,Wildest Dream,Go,,4,15,8,,6,1,575
carsales,3,15,30,"Melbourne, Australia",C#,,4,14,123,,-1,1,-93
teamviewer,4,14,123,Göppingen,PowerShell,,1,14,2,,3,0,121
techtarget,1,14,2,"Newton, MA",JavaScript,,12,14,187,,-11,0,-185
doocs,12,14,188,China,Java,,13,14,1317,,-1,0,-1129
pallets,13,14,1316,,Python,,12,14,849,,1,0,467
opencv,12,14,850,,C++,,12,14,396,,0,0,454
tesseract-ocr,12,14,396,,HTML,,8,13,707,,4,1,-311
rackspace,8,13,707,"San Antonio, TX",Ruby,,4,13,41,,4,0,666
lumen,4,13,41,,Elixir,,1,13,133,,3,0,-92
unisys,1,13,133,Global,Python,,9,13,748,,-8,0,-615
gin-gonic,9,13,748,$GOPATH,Go,,9,13,426,,0,0,322
scikit-learn,9,13,426,,Python,,8,13,502,,1,0,-76
baixing,7,12,44,"Shanghai, China",JavaScript,,7,12,44,,0,0,0
colopl,3,12,364,"Tokyo, Japan",PHP,,3,12,364,,0,0,0
appen,1,12,128,,Ruby,,1,12,128,,0,0,0
meitu,8,12,210,"Xiamen, China",Go,,7,11,210,,1,1,0
marqeta,5,11,423,"Oakland, CA",Go,,5,11,423,,0,0,0
lattice,2,11,94,,C++,,2,11,94,,0,0,0
exscientia,1,11,63,"Oxford UK, Dundee UK",Python,,1,11,63,,0,0,0
mui,9,11,659,Global,TypeScript,,9,11,656,,0,0,3
zsh-users,10,11,594,,Shell,,10,11,594,,0,0,0
nwjs,10,11,865,,JavaScript,,10,11,830,,0,0,35
robinhood,9,10,252,"Palo Alto, CA",Python,,9,10,253,,0,0,-1
renren,3,10,6,"Beijing, P.R.China",JavaScript,,3,10,6,,0,0,0
ionq,3,10,268,,Python,,3,10,268,,0,0,0
qualtrics,2,10,204,,TypeScript,,2,10,205,,0,0,-1
makemytrip,2,10,409,Gurgaon,Python,,2,10,409,,0,0,0
agilethought,2,10,124,United States,JavaScript,,2,10,124,,0,0,0
hoppscotch,7,10,237,India,Vue,,7,10,237,,0,0,0
freecodecampchina,5,10,601,"Suzhou, China",JavaScript,,5,10,601,,0,0,0
puppeteer,7,9,643,,TypeScript,,7,9,441,,0,0,202
jumeirdgroup,6,8,7,,Java,,6,8,7,,0,0,0
dangdangdotcom,5,8,80,,Java,,5,8,80,,0,0,0
compass,5,8,225,,Ruby,,5,8,225,,0,0,0
semrush,4,8,37,,JavaScript,,4,8,37,,0,0,0
soundhound,3,8,11,,Java,,3,8,11,,0,0,0
alamofire,5,8,262,,Swift,,5,8,261,,0,0,1
N-able,5,7,15,,VBScript,,5,7,15,,0,0,0
avepoint,3,7,311,"Jersey City, New Jersey, USA",C#,,3,7,311,,0,0,0
lantronix,2,7,10,,C,,2,7,10,,0,0,0
moment,6,7,830,,JavaScript,,6,7,831,,0,0,-1
git,0,7,709,,HTML,,0,7,710,,0,0,-1
quilljs,6,7,169,,JavaScript,,6,7,167,,0,0,2
micro,4,6,80,,Go,,4,6,81,,0,0,-1
tripadvisor,3,6,10,,Java,,3,6,10,,0,0,0
vacasa,2,6,42,"Portland, Oregon",Python,,2,6,42,,0,0,0
zuora,1,6,41,"San Mateo, CA",Java,,1,6,41,,0,0,0
supermicro,0,6,66,United States of America,Makefile,,1,6,255,,-1,0,-189
evercommerce,0,6,25,,PHP,,0,6,66,,0,0,-41
smartsheet,1,6,170,"Bellevue, WA",Dockerfile,,0,6,25,,1,0,145
ohmyzsh,5,6,1046,"Portland, OR",Shell,,5,6,1045,,0,0,1
powerline,4,6,179,,Shell,,4,6,178,,0,0,1
qorvo,2,5,255,"Greensboro, North Carolina",C,,4,5,8,,-2,0,247
endava,4,5,8,London,Java,,3,5,7,,1,0,1
vanguard,3,5,7,"Valley Forge, PA",Java,,1,5,4,,2,0,3
spire,1,5,4,,Haskell,,2,5,5,,-1,0,-1
payoneer,2,5,5,New York,C#,,0,5,162,,2,0,-157
mtdvio,0,5,162,Berlin,JavaScript,,3,5,222,,-3,0,-60
huginn,3,5,225,,Ruby,,4,5,67,,-1,0,158
layui,4,5,67,Hangzhou China,JavaScript,,2,4,40,,2,1,27
nortonlifeLock,2,4,40,"Tempe, Arizona",Go,,2,4,276,,0,0,-236
legalzoom,2,4,276,United States of America,Go,,2,4,8,,0,0,268
channeladvisor,2,4,10,"Morrisville, NC",TSQL,,1,4,130,,1,0,-120
lendingclub,1,4,130,,Java,,1,4,11,,0,0,119
kinaxis,1,4,11,"Ottawa, ON  Canada",HCL,,1,4,22,,0,0,-11
simcorp,1,4,22,,C#,,1,4,8,,0,0,14
upstart,1,4,8,"Portland, OR",Objective-C,,0,4,5,,1,0,3
ChangbaDevs,0,4,5,,Objective-C,,0,4,156,,0,0,-151
monotaro,0,4,155,"Amagasaki, JAPAN",Python,,0,4,359,,0,0,-204
teladoc,0,4,358,United States of America,JavaScript,,1,4,156,,-1,0,202
bitcoin,0,4,570,,C,,0,4,569,,0,0,1
konami,2,3,1,,C#,,2,3,1,,0,0,0
jumia,2,3,10,,SCSS,,2,3,10,,0,0,0
sailpoint,1,3,43,,Ruby,,1,3,43,,0,0,0
meili,0,3,3,"Hangzhou, China",Java,,1,3,12,,-1,0,-9
identiv,1,3,4,,Java,,0,3,3,,1,0,1
isocpp,0,3,302,,Python,,1,3,4,,-1,0,298
temenos,1,2,8,,TypeScript,,0,3,301,,1,-1,-293
five9,1,2,1,"San Ramon, CA",CSS,,1,2,1,,0,0,0
nordic,1,2,1,,C,,1,2,1,,0,0,0
nerdwallet,1,2,31,,Python,,1,2,31,,0,0,0
gitlab,0,2,5,,Ruby,,0,2,5,,0,0,0
dlocal,0,2,24,,HTML,,0,2,24,,0,0,0
tietoevry,0,2,6,,Java,,0,2,6,,0,0,0
impress,0,2,77,,JavaScript,,0,2,76,,0,0,1
snapkit,0,2,121,,Swift,,0,2,121,,0,0,0
exacity,0,2,30,China,TeX,,0,2,30,,0,0,0
doubleverify,0,1,6,,,,0,1,6,,0,0,0
knowbe4,0,1,3,"Clearwater, FL",Go,,0,1,3,,0,0,0
sprinklr,0,1,1,,Ruby,,0,1,1,,0,0,0
plantronics,0,1,1,"Santa Cruz, California",JavaScript,,0,1,1,,0,0,0
ytdl-org,0,1,390,,Python,,0,1,392,,0,0,-2
resume,0,1,46,,JavaScript,,0,1,46,,0,0,0
raywenderlich,0,1,1,,,,0,1,1,,0,0,0
eplus,0,0,0,"Herndon, VA",,,0,0,0,,0,0,0
phreesia,0,0,0,,,,0,0,0,,0,0,0
